iter	Passed	Remaining
0	230	69065
1	392	58417
2	552	54688
3	716	52984
4	923	54457
5	1106	54224
6	1241	51969
7	1383	50489
8	1517	49052
9	1676	48613
10	1819	47812
11	1973	47361
12	2141	47272
13	2280	46587
14	2428	46150
15	2583	45861
16	2747	45742
17	2948	46196
18	3173	46933
19	3363	47094
20	3537	46992
21	3719	47004
22	3857	46460
23	3999	45990
24	4143	45574
25	4281	45125
26	4457	45073
27	4608	44769
28	4766	44545
29	4912	44215
30	5051	43831
31	5197	43530
32	5370	43449
33	5520	43187
34	5651	42791
35	5781	42400
36	5934	42182
37	6078	41906
38	6285	42063
39	6467	42038
40	6589	41623
41	6717	41266
42	6848	40931
43	7008	40777
44	7145	40490
45	7327	40459
46	7512	40441
47	7671	40273
48	7785	39882
49	7883	39418
50	7978	38955
51	8088	38575
52	8219	38304
53	8382	38187
54	8567	38164
55	8680	37820
56	8791	37480
57	8899	37132
58	9004	36782
59	9112	36450
60	9228	36157
61	9346	35877
62	9460	35590
63	9578	35320
64	9710	35105
65	9816	34803
66	9927	34524
67	10089	34422
68	10263	34361
69	10404	34185
70	10557	34050
71	10701	33889
72	10847	33730
73	11010	33625
74	11192	33577
75	11409	33628
76	11551	33455
77	11669	33211
78	11803	33019
79	11941	32839
80	12080	32663
81	12201	32438
82	12320	32210
83	12426	31954
84	12536	31710
85	12634	31440
86	12734	31178
87	12839	30932
88	12950	30703
89	13068	30492
90	13203	30325
91	13327	30132
92	13463	29967
93	13583	29767
94	13710	29585
95	13849	29429
96	13975	29247
97	14118	29101
98	14226	28884
99	14340	28680
100	14501	28572
101	14674	28485
102	14814	28334
103	14934	28145
104	15058	27965
105	15202	27823
106	15361	27708
107	15504	27562
108	15622	27374
109	15773	27245
110	15963	27180
111	16099	27024
112	16241	26878
113	16402	26761
114	16581	26673
115	16765	26594
116	16907	26444
117	17042	26285
118	17171	26118
119	17303	25954
120	17456	25823
121	17660	25766
122	17973	25864
123	18213	25850
124	18348	25687
125	18504	25553
126	18694	25466
127	18833	25306
128	18958	25131
129	19080	24951
130	19258	24845
131	19400	24690
132	19537	24532
133	19676	24375
134	19805	24206
135	19945	24052
136	20119	23937
137	20261	23785
138	20380	23605
139	20509	23439
140	20648	23284
141	20793	23136
142	20914	22962
143	21027	22780
144	21132	22589
145	21248	22413
146	21371	22244
147	21522	22103
148	21681	21972
149	21814	21814
150	21921	21631
151	22042	21462
152	22328	21453
153	22496	21327
154	22637	21177
155	22846	21089
156	23004	20952
157	23204	20854
158	23381	20734
159	23608	20657
160	23752	20506
161	23898	20358
162	24034	20201
163	24170	20044
164	24299	19881
165	24439	19728
166	24573	19570
167	24714	19418
168	24847	19260
169	24986	19107
170	25106	18939
171	25227	18774
172	25378	18630
173	25533	18489
174	25658	18327
175	25808	18183
176	25936	18023
177	26047	17853
178	26282	17766
179	26619	17746
180	26861	17660
181	27081	17558
182	27272	17436
183	27479	17323
184	27746	17247
185	27962	17138
186	28142	17005
187	28335	16880
188	28491	16733
189	28708	16620
190	28871	16476
191	29004	16314
192	29182	16179
193	29354	16039
194	29497	15883
195	29617	15715
196	29772	15566
197	29978	15443
198	30118	15286
199	30258	15129
200	30435	14990
201	30618	14854
202	30716	14677
203	30926	14553
204	31061	14394
205	31180	14227
206	31296	14060
207	31415	13895
208	31537	13731
209	31674	13574
210	31784	13406
211	31890	13237
212	32003	13071
213	32109	12903
214	32217	12737
215	32339	12576
216	32465	12417
217	32586	12257
218	32701	12095
219	32803	11928
220	32900	11760
221	33011	11598
222	33125	11438
223	33232	11275
224	33334	11111
225	33442	10950
226	33548	10788
227	33668	10632
228	33796	10478
229	33912	10321
230	34027	10163
231	34144	10007
232	34256	9850
233	34373	9695
234	34487	9539
235	34596	9382
236	34703	9224
237	34827	9072
238	34950	8920
239	35075	8768
240	35185	8613
241	35295	8459
242	35411	8306
243	35505	8148
244	35605	7993
245	35710	7838
246	35813	7684
247	35929	7533
248	36032	7380
249	36136	7227
250	36241	7074
251	36348	6923
252	36450	6771
253	36550	6619
254	36658	6469
255	36903	6342
256	37131	6212
257	37343	6079
258	37533	5941
259	37832	5820
260	38082	5690
261	38315	5557
262	38496	5415
263	38681	5274
264	38830	5128
265	38992	4983
266	39210	4846
267	39418	4706
268	39626	4566
269	39866	4429
270	40053	4286
271	40223	4140
272	40456	4001
273	40659	3858
274	40836	3712
275	40999	3565
276	41300	3429
277	41513	3285
278	41666	3136
279	41829	2987
280	42038	2842
281	42201	2693
282	42414	2547
283	42631	2401
284	42817	2253
285	43025	2106
286	43187	1956
287	43359	1806
288	43514	1656
289	43681	1506
290	43855	1356
291	44058	1207
292	44275	1057
293	44453	907
294	44655	756
295	44844	606
296	45039	454
297	45351	304
298	45580	152
299	45799	0
