State,District,Rainfall
Maharashtra,Pune,154.7
Maharashtra,Pune,93.9
Maharashtra,Pune,149.1
Maharashtra,Pune,141.5
Maharashtra,Pune,171.2
Maharashtra,Pune,146.3
Maharashtra,Pune,204.1
Maharashtra,Pune,91.1
Maharashtra,Pune,155.8
Maharashtra,Pune,138.1
Maharashtra,Pune,86.0
Maharashtra,Pune,163.1
Maharashtra,Pune,158.3
Maharashtra,Pune,91.0
Maharashtra,Pune,44.8
Maharashtra,Pune,115.3
Maharashtra,Pune,89.1
Maharashtra,Pune,127.3
Maharashtra,Pune,120.5
Maharashtra,Pune,200.2
Maharashtra,Pune,86.8
Maharashtra,Pune,146.6
Maharashtra,Pune,59.2
Maharashtra,Pune,75.9
Maharashtra,Pune,100.1
Maharashtra,Pune,82.0
Maharashtra,Pune,139.6
Maharashtra,Pune,118.7
Maharashtra,Pune,157.1
Maharashtra,Pune,73.8
Maharashtra,Pune,128.0
Maharashtra,Pune,86.5
Maharashtra,Pune,177.3
Maharashtra,Pune,73.8
Maharashtra,Pune,40.9
Maharashtra,Pune,93.6
Maharashtra,Pune,69.5
Maharashtra,Pune,126.4
Maharashtra,Pune,146.2
Maharashtra,Pune,152.8
Maharashtra,Pune,23.9
Maharashtra,Pune,152.5
Maharashtra,Pune,130.2
Maharashtra,Pune,151.6
Maharashtra,Pune,159.6
Maharashtra,Pune,92.2
Maharashtra,Pune,79.3
Maharashtra,Pune,134.7
Maharashtra,Pune,163.4
Maharashtra,Pune,63.7
Maharashtra,Pune,122.8
Maharashtra,Pune,96.7
Maharashtra,Pune,96.5
Maharashtra,Pune,102.5
Maharashtra,Pune,149.5
Maharashtra,Pune,146.0
Maharashtra,Pune,80.0
Maharashtra,Pune,58.2
Maharashtra,Pune,168.4
Maharashtra,Pune,156.1
Maharashtra,Pune,175.7
Maharashtra,Pune,144.7
Maharashtra,Pune,180.0
Maharashtra,Pune,15.8
Maharashtra,Pune,114.8
Maharashtra,Pune,88.8
Maharashtra,Pune,209.3
Maharashtra,Pune,66.0
Maharashtra,Pune,59.6
Maharashtra,Pune,91.8
Maharashtra,Pune,96.4
Maharashtra,Pune,103.1
Maharashtra,Pune,160.7
Maharashtra,Pune,186.7
Maharashtra,Pune,163.7
Maharashtra,Pune,231.5
Maharashtra,Pune,177.8
Maharashtra,Pune,91.5
Maharashtra,Pune,114.9
Maharashtra,Pune,155.6
Maharashtra,Pune,68.0
Maharashtra,Pune,106.0
Maharashtra,Pune,149.3
Maharashtra,Pune,206.0
Maharashtra,Pune,121.5
Maharashtra,Pune,128.7
Maharashtra,Pune,143.2
Maharashtra,Pune,42.0
Maharashtra,Pune,103.8
Maharashtra,Pune,81.5
Maharashtra,Pune,155.0
Maharashtra,Pune,100.3
Maharashtra,Pune,174.7
Maharashtra,Pune,139.6
Maharashtra,Pune,112.8
Maharashtra,Pune,94.7
Maharashtra,Pune,87.9
Maharashtra,Pune,192.6
Maharashtra,Pune,28.4
Maharashtra,Pune,116.2
Maharashtra,Pune,123.9
Maharashtra,Pune,18.3
Maharashtra,Pune,178.9
Maharashtra,Pune,129.5
Maharashtra,Pune,152.9
Maharashtra,Pune,153.5
Maharashtra,Pune,161.0
Maharashtra,Pune,156.4
Maharashtra,Pune,156.4
Maharashtra,Pune,137.6
Maharashtra,Pune,164.5
Maharashtra,Pune,242.7
Maharashtra,Pune,81.6
Maharashtra,Pune,143.2
Maharashtra,Pune,157.7
Maharashtra,Pune,50.8
Maharashtra,Pune,205.2
Maharashtra,Pune,149.3
Maharashtra,Pune,134.0
Maharashtra,Pune,103.8
Maharashtra,Pune,158.1
Maharashtra,Pune,69.7
Maharashtra,Pune,197.9
Maharashtra,Pune,167.2
Maharashtra,Pune,114.5
Maharashtra,Pune,184.9
Maharashtra,Pune,41.7
Maharashtra,Pune,74.7
Maharashtra,Pune,122.8
Maharashtra,Pune,124.7
Maharashtra,Pune,140.4
Maharashtra,Pune,129.5
Maharashtra,Pune,176.3
Maharashtra,Pune,54.6
Maharashtra,Pune,34.0
Maharashtra,Pune,57.3
Maharashtra,Pune,61.8
Maharashtra,Pune,122.1
Maharashtra,Pune,114.2
Maharashtra,Pune,135.1
Maharashtra,Pune,137.0
Maharashtra,Pune,133.3
Maharashtra,Pune,51.7
Maharashtra,Pune,111.3
Maharashtra,Pune,98.1
Maharashtra,Pune,176.3
Maharashtra,Pune,137.0
Maharashtra,Pune,205.1
Maharashtra,Pune,76.9
Maharashtra,Pune,107.9
Maharashtra,Pune,162.6
Maharashtra,Pune,99.1
Maharashtra,Pune,138.4
Maharashtra,Pune,94.1
Maharashtra,Pune,173.9
Maharashtra,Pune,58.3
Maharashtra,Pune,207.7
Maharashtra,Pune,156.2
Maharashtra,Pune,143.9
Maharashtra,Pune,139.3
Maharashtra,Pune,90.3
Maharashtra,Pune,153.5
Maharashtra,Pune,98.3
Maharashtra,Pune,27.0
Maharashtra,Pune,125.9
Maharashtra,Pune,88.2
Maharashtra,Pune,128.3
Maharashtra,Pune,121.0
Maharashtra,Pune,58.0
Maharashtra,Pune,193.7
Maharashtra,Pune,91.7
Maharashtra,Pune,169.7
Maharashtra,Pune,89.6
Maharashtra,Pune,122.2
Maharashtra,Pune,134.3
Maharashtra,Pune,30.0
Maharashtra,Pune,93.7
Maharashtra,Pune,133.3
Maharashtra,Pune,124.0
Maharashtra,Pune,123.0
Maharashtra,Pune,162.4
Maharashtra,Pune,85.0
Maharashtra,Pune,124.4
