State,District,Nitrogen,Phosphorus,Potassium,Soil_pH,Organic_Carbon,Electrical_Conductivity,Soil_Moisture,Soil_Type
Maharashtra,Pune,69.9,43.3,49.7,7.41,0.61,1.13,68.7,Red
Maharashtra,Pune,75.3,46.0,37.6,6.51,0.59,1.04,43.2,Sandy
Maharashtra,Pune,45.9,19.3,30.6,6.86,1.03,1.32,46.8,Laterite
Maharashtra,Pune,49.7,41.5,39.6,6.56,0.75,1.16,44.5,Alluvial
Maharashtra,Pune,48.0,67.2,39.8,5.87,0.77,0.83,48.1,Alluvial
Maharashtra,Pune,20.8,39.5,41.0,6.39,0.83,1.41,42.4,Loamy
Maharashtra,Pune,39.8,26.0,51.6,6.18,0.45,0.94,28.0,Loamy
Maharashtra,Pune,62.7,22.5,19.5,6.88,0.51,1.34,64.6,Alluvial
Maharashtra,Pune,43.2,41.3,45.0,7.09,0.58,1.14,28.4,Black
Maharashtra,Pune,36.1,26.1,49.6,5.27,0.81,0.92,56.8,Red
Maharashtra,Pune,127.4,34.0,34.0,6.46,0.44,1.51,58.6,Loamy
Maharashtra,Pune,60.4,55.5,74.3,7.47,0.77,1.29,58.4,Red
Maharashtra,Pune,78.3,48.9,32.1,6.81,0.66,1.49,34.5,Clayey
Maharashtra,Pune,53.4,28.8,24.7,6.58,0.46,1.78,42.7,Alluvial
Maharashtra,Pune,69.1,43.0,43.2,5.29,0.51,1.62,44.7,Clayey
Maharashtra,Pune,26.5,39.7,38.7,7.24,0.44,1.3,74.6,Alluvial
Maharashtra,Pune,82.9,54.0,51.9,5.95,0.86,0.78,53.8,Clayey
Maharashtra,Pune,103.8,45.3,22.0,6.97,0.71,0.87,34.8,Alluvial
Maharashtra,Pune,29.0,45.8,24.1,6.78,0.51,1.66,33.3,Loamy
Maharashtra,Pune,53.6,67.5,45.9,6.12,0.57,1.2,50.7,Clayey
Maharashtra,Pune,53.5,42.5,18.4,7.21,0.84,0.94,54.3,Black
Maharashtra,Pune,84.3,55.2,66.8,6.84,0.63,1.16,16.0,Black
Maharashtra,Pune,36.2,52.9,25.4,6.97,0.82,0.95,59.5,Clayey
