State,District,Irrigation_Type,Water_Availability,Groundwater_Level
Maharashtra,Pune,Sprinkler,High,100.2
Maharashtra,Pune,Drip,Low,70.7
Maharashtra,Pune,Drip,High,66.8
Maharashtra,Pune,Rainfed Only,Low,111.8
Maharashtra,Pune,Drip,Low,29.8
Maharashtra,Pune,Canal Flood,High,145.7
Maharashtra,Pune,Canal Flood,High,97.2
Maharashtra,Pune,Drip,Medium,110.5
Maharashtra,Pune,Rainfed Only,High,124.6
Maharashtra,Pune,Canal Flood,Medium,30.9
Maharashtra,Pune,Sprinkler,High,117.5
Maharashtra,Pune,Canal Flood,High,122.5
Maharashtra,Pune,Drip,Medium,113.1
Maharashtra,Pune,Canal Flood,Low,90.2
Maharashtra,Pune,Drip,Medium,58.5
Maharashtra,Pune,Rainfed Only,High,60.7
Maharashtra,Pune,Drip,Low,117.0
Maharashtra,Pune,Rainfed Only,Low,86.2
Maharashtra,Pune,Drip,Medium,96.0
Maharashtra,Pune,Rainfed Only,High,78.1
Maharashtra,Pune,Sprinkler,High,115.9
Maharashtra,Pune,Drip,High,52.9
Maharashtra,Pune,Canal Flood,Medium,107.3
Maharashtra,Pune,Drip,Low,74.0
Maharashtra,Pune,Rainfed Only,Medium,86.6
Maharashtra,Pune,Canal Flood,Low,60.7
Maharashtra,Pune,Sprinkler,Low,74.2
Maharashtra,Pune,Rainfed Only,High,71.5
Maharashtra,Pune,Rainfed Only,Low,84.4
Maharashtra,Pune,Canal Flood,High,103.0
Maharashtra,Pune,Sprinkler,Low,92.6
Maharashtra,Pune,Canal Flood,High,77.4
Maharashtra,Pune,Drip,Low,62.3
Maharashtra,Pune,Rainfed Only,High,26.9
Maharashtra,Pune,Drip,Low,99.3
Maharashtra,Pune,Drip,Low,70.5
Maharashtra,Pune,Canal Flood,Low,8.2
Maharashtra,Pune,Rainfed Only,Medium,83.2
Maharashtra,Pune,Drip,High,32.4
Maharashtra,Pune,Sprinkler,High,76.3
Maharashtra,Pune,Canal Flood,High,135.8
Maharashtra,Pune,Drip,Medium,129.6
Maharashtra,Pune,Sprinkler,Medium,132.1
Maharashtra,Pune,Canal Flood,High,83.2
Maharashtra,Pune,Sprinkler,High,123.5
Maharashtra,Pune,Drip,High,105.7
Maharashtra,Pune,Rainfed Only,Medium,47.0
Maharashtra,Pune,Rainfed Only,Low,70.1
Maharashtra,Pune,Drip,Medium,122.4
Maharashtra,Pune,Sprinkler,Medium,71.5
Maharashtra,Pune,Sprinkler,Low,149.6
Maharashtra,Pune,Drip,Low,65.2
Maharashtra,Pune,Canal Flood,Low,138.8
Maharashtra,Pune,Drip,High,104.3
Maharashtra,Pune,Rainfed Only,High,77.8
Maharashtra,Pune,Drip,Medium,68.3
Maharashtra,Pune,Drip,High,113.7
Maharashtra,Pune,Sprinkler,Medium,52.1
Maharashtra,Pune,Rainfed Only,High,111.1
Maharashtra,Pune,Sprinkler,Low,98.0
Maharashtra,Pune,Sprinkler,High,104.8
Maharashtra,Pune,Canal Flood,Low,75.3
Maharashtra,Pune,Rainfed Only,Low,137.6
Maharashtra,Pune,Sprinkler,Low,63.6
Maharashtra,Pune,Canal Flood,High,119.4
Maharashtra,Pune,Drip,Medium,128.6
Maharashtra,Pune,Sprinkler,High,83.5
Maharashtra,Pune,Drip,High,71.1
Maharashtra,Pune,Canal Flood,Medium,80.5
Maharashtra,Pune,Sprinkler,Low,100.3
Maharashtra,Pune,Sprinkler,Low,78.7
Maharashtra,Pune,Drip,Low,46.7
Maharashtra,Pune,Drip,High,60.2
Maharashtra,Pune,Sprinkler,Low,97.3
Maharashtra,Pune,Rainfed Only,Low,134.0
Maharashtra,Pune,Drip,High,26.5
Maharashtra,Pune,Sprinkler,Medium,43.5
Maharashtra,Pune,Drip,Medium,151.4
Maharashtra,Pune,Canal Flood,Low,93.2
Maharashtra,Pune,Canal Flood,Low,157.4
Maharashtra,Pune,Rainfed Only,High,111.2
Maharashtra,Pune,Rainfed Only,Low,166.2
Maharashtra,Pune,Drip,Medium,70.4
Maharashtra,Pune,Drip,Medium,46.8
Maharashtra,Pune,Canal Flood,Low,53.3
Maharashtra,Pune,Sprinkler,High,35.6
Maharashtra,Pune,Sprinkler,Low,76.6
Maharashtra,Pune,Sprinkler,Medium,25.6
Maharashtra,Pune,Drip,High,59.8
Maharashtra,Pune,Drip,High,42.3
Maharashtra,Pune,Canal Flood,Low,122.1
Maharashtra,Pune,Rainfed Only,Medium,29.6
Maharashtra,Pune,Drip,Low,99.7
Maharashtra,Pune,Sprinkler,Medium,149.6
Maharashtra,Pune,Drip,Medium,26.0
Maharashtra,Pune,Drip,Low,62.3
Maharashtra,Pune,Canal Flood,Low,116.0
Maharashtra,Pune,Drip,Low,100.8
Maharashtra,Pune,Canal Flood,Medium,69.9
Maharashtra,Pune,Rainfed Only,High,35.1
Maharashtra,Pune,Canal Flood,Low,97.2
Maharashtra,Pune,Sprinkler,Medium,65.5
Maharashtra,Pune,Drip,Low,32.1
Maharashtra,Pune,Drip,Low,85.3
Maharashtra,Pune,Drip,Medium,97.5
Maharashtra,Pune,Rainfed Only,Medium,135.9
Maharashtra,Pune,Rainfed Only,Medium,27.0
Maharashtra,Pune,Rainfed Only,High,99.7
Maharashtra,Pune,Rainfed Only,High,109.9
Maharashtra,Pune,Sprinkler,Medium,162.4
Maharashtra,Pune,Sprinkler,High,119.1
Maharashtra,Pune,Sprinkler,Medium,118.3
Maharashtra,Pune,Sprinkler,High,118.2
Maharashtra,Pune,Drip,Low,71.9
Maharashtra,Pune,Canal Flood,High,79.4
