State,District,Temperature,Humidity,Wind_Speed,Solar_Radiation,Sunshine_Hours
Maharashtra,Pune,20.3,48.6,15.2,14.2,8.8
Maharashtra,Pune,18.3,61.3,12.5,24.3,10.4
Maharashtra,Pune,19.9,57.0,13.5,14.6,8.6
Maharashtra,Pune,24.2,83.5,15.7,20.6,7.5
Maharashtra,Pune,17.6,60.9,12.4,15.7,7.1
Maharashtra,Pune,19.6,75.9,12.4,24.0,7.0
Maharashtra,Pune,16.2,75.5,12.1,18.9,6.9
Maharashtra,Pune,21.9,67.3,14.1,23.0,6.9
Maharashtra,Pune,32.0,64.3,12.6,13.5,7.3
Maharashtra,Pune,21.0,69.5,15.4,26.7,9.2
Maharashtra,Pune,21.5,72.0,17.1,16.0,8.7
Maharashtra,Pune,17.6,81.4,12.1,16.5,6.5
Maharashtra,Pune,19.5,79.5,16.5,18.4,6.2
Maharashtra,Pune,32.1,78.2,10.2,21.4,6.9
Maharashtra,Pune,15.6,66.9,8.4,18.1,6.9
Maharashtra,Pune,19.3,79.1,13.7,17.4,8.0
Maharashtra,Pune,28.5,61.7,8.6,15.7,8.1
Maharashtra,Pune,29.4,78.5,16.4,11.2,6.2
Maharashtra,Pune,16.4,75.6,11.9,8.0,8.6
Maharashtra,Pune,27.8,90.1,13.0,22.5,5.8
Maharashtra,Pune,13.8,82.4,14.1,25.0,7.1
Maharashtra,Pune,33.9,73.1,10.2,18.7,5.1
Maharashtra,Pune,17.3,66.1,17.1,19.7,9.1
Maharashtra,Pune,21.5,59.7,14.1,16.6,6.9
Maharashtra,Pune,32.2,76.0,10.0,22.9,6.1
Maharashtra,Pune,13.2,80.9,13.4,19.2,5.0
Maharashtra,Pune,20.4,71.9,9.0,20.2,9.8
Maharashtra,Pune,23.1,75.8,11.2,15.8,6.7
Maharashtra,Pune,27.3,69.0,11.9,18.0,5.6
Maharashtra,Pune,28.8,67.9,10.9,20.3,6.7
Maharashtra,Pune,23.6,63.2,12.9,19.8,10.3
Maharashtra,Pune,31.6,77.9,12.2,23.2,8.7
Maharashtra,Pune,19.6,53.5,6.8,19.5,6.7
Maharashtra,Pune,19.3,62.0,10.0,22.6,3.0
Maharashtra,Pune,24.9,67.2,16.8,21.1,4.9
Maharashtra,Pune,12.6,58.6,13.3,13.1,7.7
Maharashtra,Pune,25.5,64.7,9.8,11.4,9.8
Maharashtra,Pune,31.1,82.2,11.7,19.8,8.5
Maharashtra,Pune,22.7,38.8,15.3,24.9,9.1
Maharashtra,Pune,24.3,79.6,8.3,19.6,6.5
Maharashtra,Pune,29.3,71.8,12.0,15.9,5.9
Maharashtra,Pune,16.4,77.5,14.3,21.0,8.7
Maharashtra,Pune,18.0,51.6,14.5,19.8,8.7
Maharashtra,Pune,24.1,69.3,13.1,25.6,7.1
Maharashtra,Pune,25.7,73.1,7.5,14.7,7.4
Maharashtra,Pune,19.5,60.5,15.7,14.0,7.2
Maharashtra,Pune,17.6,84.8,20.1,18.8,8.8
Maharashtra,Pune,28.3,79.0,14.9,12.9,9.3
Maharashtra,Pune,23.8,67.7,12.3,21.0,7.1
Maharashtra,Pune,20.2,60.2,14.0,19.4,6.3
Maharashtra,Pune,22.5,70.4,14.0,19.9,8.4
Maharashtra,Pune,20.6,68.0,13.3,21.5,9.3
Maharashtra,Pune,27.2,69.6,8.3,22.7,8.3
Maharashtra,Pune,23.1,77.7,11.4,13.6,6.2
Maharashtra,Pune,10.0,74.4,12.3,23.4,8.6
Maharashtra,Pune,19.6,61.8,10.1,27.7,7.3
Maharashtra,Pune,20.6,72.9,7.7,18.4,6.2
Maharashtra,Pune,16.7,67.4,12.6,15.0,7.0
Maharashtra,Pune,22.4,74.5,11.7,21.3,7.0
Maharashtra,Pune,28.4,75.4,10.5,18.0,8.1
Maharashtra,Pune,19.4,50.7,13.4,18.5,8.5
Maharashtra,Pune,22.2,76.5,20.1,25.1,7.0
Maharashtra,Pune,24.1,71.2,13.3,13.7,9.1
Maharashtra,Pune,10.5,69.8,7.2,17.2,7.8
Maharashtra,Pune,26.3,80.2,11.9,24.0,7.4
Maharashtra,Pune,18.4,73.7,9.7,19.5,6.8
Maharashtra,Pune,14.2,73.3,12.9,24.6,4.7
Maharashtra,Pune,18.4,81.3,14.1,22.9,9.7
Maharashtra,Pune,18.2,61.4,15.1,22.5,7.3
Maharashtra,Pune,21.2,60.3,17.2,28.1,9.2
Maharashtra,Pune,25.3,75.9,13.5,12.9,6.8
Maharashtra,Pune,26.1,61.5,13.0,24.6,9.3
Maharashtra,Pune,26.7,72.8,14.9,19.0,10.1
