Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Soil_pH,Rainfall,Crop,State,District,Latitude,Longitude,Altitude,Soil_Type,Organic_Carbon,Electrical_Conductivity,Groundwater_Level,Soil_Moisture,Agro_Climatic_Zone,Water_Availability,Irrigation_Type,Season,Month,Wind_Speed,Solar_Radiation,Sunshine_Hours,NPK_Total,NPK_Ratio_N,NPK_Ratio_P,NPK_Ratio_K,Fertility_Index,Crop_Suitability_Score,Rainfall_Category,Temperature_Category
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,Punjab,Amritsar,30.735226,74.894527,279.3,Alluvial,0.485,0.562,29.77,29.86,Trans-Gangetic Plains Region,High,Flood,Kharif,June,10.37,18.19,7.43,175,0.5143,0.24,0.2457,46.72,68.68,High,Moderate
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Odisha,Cuttack,20.476042,84.229998,87.7,Alluvial,0.542,0.207,6.52,30.3,East Coast Plains and Hills Region,High,Canal,Kharif,June,9.56,16.12,5.43,184,0.462,0.3152,0.2228,46.93,67.38,High,Moderate
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,West Bengal,Bardhaman,23.433492,87.480913,79.0,Clayey,0.528,0.405,4.64,37.33,Lower Gangetic Plains Region,Low,Canal,Kharif,July,8.58,16.59,5.39,159,0.3774,0.3459,0.2767,38.53,60.52,High,Moderate
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,Uttar Pradesh,Meerut,25.619481,80.409707,102.9,Clayey,0.784,0.571,5.91,40.98,Upper Gangetic Plains Region,High,Canal,Kharif,July,9.32,16.77,5.74,149,0.4966,0.2349,0.2685,44.31,65.53,High,Moderate
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,Andhra Pradesh,Guntur,15.476628,79.476965,196.8,Clayey,0.619,0.335,11.97,38.75,East Coast Plains and Hills Region,High,Canal,Kharif,June,8.46,16.3,5.95,162,0.4815,0.2593,0.2593,41.39,64.45,High,Moderate
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,Odisha,Cuttack,19.833904,84.401166,49.9,Clayey,0.55,0.394,6.57,33.02,East Coast Plains and Hills Region,Medium,Canal,Kharif,June,12.93,14.21,6.68,148,0.4662,0.25,0.2838,40.37,68.31,High,Moderate
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,Punjab,Ludhiana,31.100754,75.47588,292.8,Clayey,0.502,0.246,25.47,30.84,Trans-Gangetic Plains Region,Medium,Canal,Kharif,June,8.14,17.03,6.42,162,0.4259,0.3395,0.2346,41.55,69.0,High,Moderate
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,Tamil Nadu,Salem,11.191423,78.11466,8.2,Alluvial,0.556,0.564,12.45,22.9,East Coast Plains and Hills Region,High,Canal,Kharif,June,6.41,17.35,5.85,187,0.5027,0.2834,0.2139,46.67,69.37,High,Moderate
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,Punjab,Bathinda,30.779121,75.299525,259.9,Alluvial,0.898,0.116,15.67,30.63,Trans-Gangetic Plains Region,High,Flood,Kharif,July,8.25,17.48,7.54,181,0.4917,0.2983,0.2099,53.03,75.08,High,Moderate
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,West Bengal,Hooghly,22.617043,86.657784,61.7,Alluvial,0.507,0.485,7.47,24.67,Lower Gangetic Plains Region,High,Flood,Kharif,July,9.23,17.02,5.43,164,0.4146,0.3537,0.2317,44.75,73.72,High,Moderate
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,Uttar Pradesh,Varanasi,27.599461,81.051464,156.9,Alluvial,0.465,0.56,9.75,34.98,Upper Gangetic Plains Region,Medium,Flood,Kharif,July,7.83,16.09,5.08,184,0.4946,0.288,0.2174,43.44,65.88,High,Moderate
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,Odisha,Cuttack,21.227327,84.613556,212.4,Clayey,0.811,0.65,5.11,35.54,East Coast Plains and Hills Region,High,Flood,Kharif,July,11.52,16.27,5.56,178,0.5056,0.2584,0.236,47.42,73.55,High,Moderate
