iter	Passed	Remaining
0	345	345528
1	795	396742
2	1014	337250
3	1221	304098
4	1390	276675
5	1717	284603
6	1820	258320
7	1955	242538
8	2079	228988
9	2209	218766
10	2351	211438
11	2489	204964
12	2634	200019
13	2734	192553
14	2866	188208
15	2995	184208
16	3147	182008
17	3287	179352
18	3396	175355
19	3503	171694
20	3654	170347
21	3805	169171
22	3957	168110
23	4091	166372
24	4236	165235
25	4398	164779
26	4510	162539
27	4623	160502
28	4745	158884
29	4901	158495
30	5069	158457
31	5231	158239
32	5376	157542
33	5509	156546
34	5623	155035
35	5767	154428
36	5904	153667
37	6043	152997
38	6155	151679
39	6271	150518
40	6390	149483
41	6517	148654
42	6633	147638
43	6752	146720
44	6864	145687
45	6973	144625
46	7080	143564
47	7176	142333
48	7298	141650
49	7415	140899
50	7532	140169
51	7644	139358
52	7775	138937
53	7914	138645
54	8030	137975
55	8153	137447
56	8301	137332
57	8447	137204
58	8557	136487
59	8687	136107
60	8809	135612
61	8940	135257
62	9070	134899
63	9220	134845
64	9460	136085
65	9629	136273
66	9791	136356
67	9919	135951
68	10056	135695
69	10187	135341
70	10309	134899
71	10442	134586
72	10572	134260
73	10721	134163
74	10867	134027
75	11004	133791
76	11138	133519
77	11238	132846
78	11350	132325
79	11450	131686
80	11559	131145
81	11679	130750
82	11787	130232
83	11886	129618
84	11985	129025
85	12092	128522
86	12239	128446
87	12358	128074
88	12457	127516
89	12552	126920
90	12652	126385
91	12736	125699
92	12831	125142
93	12928	124608
94	13028	124113
95	13127	123620
96	13231	123176
97	13330	122692
98	13457	122476
99	13587	122290
100	13699	121935
101	13812	121602
102	13939	121396
103	14071	121232
104	14193	120985
105	14306	120658
106	14414	120299
107	14521	119938
108	14643	119703
109	14765	119465
110	14876	119147
111	14985	118812
112	15113	118635
113	15247	118501
114	15368	118272
115	15479	117962
116	15612	117828
117	15743	117676
118	15870	117496
119	15975	117155
120	16101	116966
121	16236	116847
122	16347	116558
123	16476	116398
124	16606	116243
125	16759	116253
126	16913	116262
127	17028	116005
128	17140	115729
129	17252	115457
130	17371	115236
131	17485	114982
132	17602	114748
133	17734	114615
134	17884	114595
135	18028	114532
136	18141	114277
137	18244	113961
138	18449	114278
139	18583	114153
140	18728	114100
141	18875	114052
142	19063	114250
143	19313	114807
144	19469	114804
145	19588	114581
146	19723	114451
147	19899	114559
148	20141	115035
149	20286	114957
150	20401	114706
151	20534	114559
152	20767	114970
153	21045	115611
154	21337	116321
155	21487	116253
156	21636	116178
157	21791	116128
158	21967	116194
159	22119	116127
160	22257	115990
161	22397	115857
162	22529	115685
163	22665	115537
164	22808	115423
165	22963	115372
166	23098	115216
167	23231	115051
168	23343	114783
169	23458	114534
170	23595	114390
171	23726	114220
172	23883	114170
173	24039	114120
174	24312	114615
175	24457	114505
176	24635	114545
177	24848	114752
178	25054	114916
179	25217	114879
180	25342	114672
181	25465	114455
182	25594	114266
183	25700	113975
184	25814	113724
185	25929	113476
186	26048	113246
187	26180	113078
188	26309	112893
189	26458	112795
190	26595	112649
191	26714	112424
192	26826	112168
193	26969	112050
194	27249	112493
195	27482	112732
196	27712	112960
197	27974	113311
198	28240	113672
199	28397	113588
200	28511	113338
201	28721	113462
202	28947	113650
203	29086	113494
204	29228	113349
205	29364	113181
206	29499	113008
207	29678	113006
208	29827	112889
209	29993	112832
210	30136	112690
211	30272	112522
212	30412	112369
213	30635	112519
214	30849	112637
215	31011	112559
216	31129	112323
217	31259	112131
218	31373	111884
219	31519	111749
220	31670	111634
221	31815	111498
222	31947	111313
223	32072	111106
224	32193	110887
225	32298	110614
226	32427	110424
227	32571	110286
228	32708	110123
229	32852	109983
230	33008	109884
231	33148	109732
232	33299	109616
233	33461	109535
234	33658	109570
235	33847	109575
236	34000	109462
237	34154	109350
238	34321	109282
239	34449	109088
240	34606	108988
241	34793	108980
242	34926	108803
243	35097	108743
244	35301	108785
245	35446	108644
246	35595	108514
247	35750	108405
248	35886	108235
249	36061	108183
250	36221	108087
251	36410	108075
252	36609	108091
253	36745	107921
254	36890	107778
255	37051	107680
256	37193	107528
257	37329	107358
258	37461	107178
259	37605	107032
260	37742	106864
261	37855	106631
262	37988	106453
263	38111	106249
264	38227	106027
265	38349	105821
266	38473	105621
267	38617	105477
268	38764	105341
269	38903	105183
270	39037	105011
271	39168	104832
272	39334	104748
273	39495	104648
274	39671	104587
275	39817	104449
276	39939	104247
277	40061	104045
278	40173	103818
279	40295	103616
280	40429	103449
281	40581	103324
282	40720	103169
283	40871	103042
284	41011	102889
285	41243	102964
286	41465	103014
287	41699	103091
288	41890	103059
289	42040	102927
290	42183	102777
291	42357	102703
292	42547	102664
293	42759	102681
294	42962	102673
295	43178	102693
296	43346	102600
297	43502	102478
298	43661	102362
299	43811	102227
300	43956	102077
301	44113	101958
302	44228	101739
303	44370	101585
304	44521	101450
305	44694	101365
306	44839	101216
307	45000	101104
308	45174	101020
309	45332	100902
310	45536	100882
311	45718	100815
312	45874	100690
313	46028	100560
314	46129	100312
315	46224	100056
316	46316	99791
317	46415	99544
318	46537	99347
319	46643	99118
320	46754	98897
321	46881	98712
322	47001	98513
323	47123	98319
324	47231	98096
325	47334	97862
326	47433	97622
327	47531	97381
328	47626	97135
329	47732	96911
330	47827	96666
331	47930	96439
332	48091	96327
333	48309	96329
334	48534	96344
335	48713	96267
336	48859	96123
337	49011	95992
338	49165	95865
339	49311	95722
340	49462	95589
341	49619	95467
342	49779	95350
343	49964	95281
344	50152	95216
345	50358	95185
346	50546	95121
347	50833	95238
348	51069	95261
349	51329	95326
350	51518	95258
351	51683	95144
352	51869	95069
353	52044	94973
354	52237	94910
355	52385	94765
356	52507	94572
357	52638	94397
358	52764	94211
359	52899	94043
360	53029	93866
361	53158	93688
362	53289	93513
363	53415	93330
364	53535	93137
365	53675	92979
366	53814	92818
367	54016	92768
368	54201	92685
369	54357	92554
370	54531	92454
371	54697	92338
372	54839	92182
373	54956	91985
374	55062	91770
375	55219	91641
376	55313	91407
377	55440	91227
378	55572	91057
379	55688	90860
380	55791	90642
381	55901	90437
382	56067	90322
383	56183	90127
384	56284	89908
